影院名称,影院专资,所属城市
新影联武清影剧院,12140722,天津
CGV星聚汇星星影城（东马路店）,12042201,天津
天津耀莱成龙国际影城（友谊路店）,12034901,天津
天津耀莱成龙国际影城（东丽店）,12105301,天津
横店电影城（CINITY瑞景店）,12131501,天津
金逸影城天津奥城店,12042701,天津
塘沽大剧院,12072802,天津
天津麦田国际影城,12231001,天津
金逸珠江影城（长城新天地店）,12152101,天津
橙天嘉禾银河IMAX影城,12034401,天津
中影国际影城（西青永旺CINITY店）,12114201,天津
金逸影城（大悦城IMAX激光店）,12043901,天津
天津时代凤凰国际影城,12070711,天津
万达影城（江阴五洲XLAND店）,32036211,无锡
幸福蓝海国际影城（无锡金太湖店）,32034201,无锡
幸福蓝海国际影城（无锡崇安寺店）,32036111,无锡
苏宁影城（苏宁广场CINITY）,32039791,无锡
华谊兄弟影院（无锡古韵店）,32033301,无锡
美港影城保利广场店（金陵饭店旁）,32035611,无锡
麦希无锡阳光影城,32035511,无锡
无锡睦邻影院,32032201,无锡
万达影城（无锡华润广场店）,32035811,无锡
星美影商城（无锡五洲国际店）,32034001,无锡
无锡和平电影院,32030101,无锡
天幕大地影城（华夏南路丰汇店）,32032401,无锡
SFC上影影城（无锡人民路店）,32037211,无锡
中影国际影城无锡新区宝龙店,32032601,无锡
无锡新影联影院,32035311,无锡
江阴三房巷影院,32035411,无锡
金逸影城（光美荟聚IMAX激光店）,32035211,无锡
保利国际影城-无锡电影产业园店,32034401,无锡
万达影城（惠山IMAX店）,32034501,无锡
SFC上影影城（无锡硕放店）,32036411,无锡
幸福蓝海影城（洛社店）,32035001,无锡
SFC上影影城东港店（原红豆影城）,32036611,无锡
万达影城（哥伦布4DX店）,32033901,无锡
无锡百乐影城,32036311,无锡
大世界影城（中山路IMAX激光店）,32030501,无锡
无锡海岸影城,32035111,无锡
金逸影城无锡哥伦布店,32033701,无锡
金逸影城（无锡方圆荟IMAX店）,32032101,无锡
宜兴影城,32031101,无锡
江阴星图国际影城,32035711,无锡
